mouseid,Behavior,start,end,duration,treatment
111,behavior 1,13.98,14.02,0.04,saline
111,behavior 2,15,16,1,saline
111,behavior 2,17.01,17.98,0.97,saline
111,behavior 1,20.5,23.5,3,saline
111,behavior 1,24.6,25.7,1.1,saline
112,behavior 3,1.2,3.5,2.3,saline
112,behavior 2,4.6,7.8,3.2,saline
112,behavior 3,45.6,51.9,6.3,saline
112,behavior 1,55.5,55.8,0.3,saline
113,behavior 3,4.4,5.4,1,drug
113,behavior 2,6,6.8,0.8,drug
113,behavior 1,15.6,20.1,4.5,drug
113,behavior 1,23.4,24.4,1,drug
113,behavior 1,58.8,59.9,1.1,drug
113,behavior 3,4.4,5.4,1,drug
113,behavior 2,6,6.8,0.8,drug
113,behavior 1,15.6,20.1,4.5,drug
113,behavior 1,23.4,24.4,1,drug
113,behavior 1,58.8,59.9,1.1,drug
